epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,12266.1,0.96838,0.44283,1.08307,0.94847,0.96532,0.95749,0.73119,1.01041,0.44374,1.20084,0.0077032,0.0077032,0.0077032
118,12372.1,0.99134,0.44756,1.09444,0.9497,0.9648,0.95684,0.73172,1.01017,0.44443,1.20049,0.0076834,0.0076834,0.0076834
119,12476,0.9784,0.44934,1.09752,0.94958,0.96464,0.95695,0.73212,1.00899,0.4455,1.20099,0.0076636,0.0076636,0.0076636
120,12580.4,0.96087,0.44237,1.08368,0.94865,0.96395,0.95607,0.73136,1.00849,0.4473,1.19879,0.0076438,0.0076438,0.0076438
121,12685.2,0.97374,0.45411,1.09116,0.9511,0.96294,0.95534,0.73144,1.00717,0.44608,1.19692,0.007624,0.007624,0.007624
122,12789.4,0.96594,0.43616,1.08945,0.94777,0.96635,0.95492,0.73062,1.00726,0.44896,1.19915,0.0076042,0.0076042,0.0076042
123,12893.8,0.96507,0.43656,1.09043,0.9505,0.9631,0.95446,0.73009,1.00575,0.44883,1.1997,0.0075844,0.0075844,0.0075844
124,12997.3,0.95744,0.4378,1.08427,0.95074,0.96281,0.95426,0.73003,1.00619,0.44871,1.19984,0.0075646,0.0075646,0.0075646
125,13102.6,0.94076,0.43489,1.07763,0.9467,0.96688,0.95443,0.72931,1.00514,0.44842,1.19952,0.0075448,0.0075448,0.0075448
126,13205.6,0.94394,0.43393,1.07667,0.95139,0.96092,0.95502,0.73039,1.00579,0.44802,1.19988,0.007525,0.007525,0.007525
127,13310,0.94772,0.43366,1.07557,0.95245,0.96126,0.95554,0.73016,1.00509,0.4478,1.19838,0.0075052,0.0075052,0.0075052
128,13413.6,0.94578,0.43315,1.07803,0.95072,0.96167,0.9555,0.73108,1.00342,0.44823,1.19665,0.0074854,0.0074854,0.0074854
129,13518.2,0.93815,0.43158,1.06866,0.95101,0.96202,0.95507,0.73045,1.00255,0.44858,1.19538,0.0074656,0.0074656,0.0074656
130,13623.5,0.9425,0.43134,1.07191,0.94892,0.96567,0.95518,0.7304,1.00169,0.44817,1.19371,0.0074458,0.0074458,0.0074458
131,13728.6,0.9334,0.42753,1.05916,0.94966,0.96602,0.95529,0.73047,1.00196,0.44861,1.19248,0.007426,0.007426,0.007426
132,13831.8,0.93911,0.43758,1.07603,0.9496,0.96533,0.95519,0.73081,1.00101,0.44867,1.1932,0.0074062,0.0074062,0.0074062
133,13934.3,0.93698,0.42931,1.06718,0.95051,0.9653,0.95394,0.73055,0.99963,0.44947,1.19259,0.0073864,0.0073864,0.0073864
